name,category,priority,website_url,contact_url,context,asset_to_pitch,notes,sender,source_url
Physical Intelligence,Robotics foundation model,HIGH,https://www.pi.website/,https://www.pi.website/,Generalist robot policies need diverse human task video beyond robot-only trajectories.,First-person household and industrial manipulation clips. Task-matched sample reel.,VLA model lab. Lead with messy real-world task coverage.,viresh,https://www.pi.website/
Skild AI,Robotics foundation model,HIGH,https://www.skild.ai/,https://www.skild.ai/,Omni-bodied robot intelligence maps well to broad human task capture.,"First-person task video across tool use, packing, repair, and household work.",High-fit model-layer buyer. Ask for a task-matched sample review.,viresh,https://www.skild.ai/
Figure AI,Humanoid robotics,HIGH,https://www.figure.ai/,https://www.figure.ai/,Humanoid deployment needs real worksite manipulation coverage.,"Industrial task video, tool handling, warehouse actions, hand-object sequences.",Factory humanoid buyer. Keep email short and asset-led.,viresh,https://www.figure.ai/
Apptronik,Humanoid robotics,HIGH,https://apptronik.com/,https://apptronik.com/,Apollo is aimed at warehouse and manufacturing tasks.,"Warehouse, manufacturing, garment line, metal work, and residential task footage.",Very strong fit due real-world training focus.,tarun,https://apptronik.com/
Agility Robotics,Humanoid robotics,HIGH,https://www.agilityrobotics.com/,https://www.agilityrobotics.com/,Digit operates in logistics settings where human task video can support workflow understanding.,"Warehouse handling, tote movement, sorting, floor-level worksite capture.",Logistics humanoid buyer. Pitch warehouse task families.,tarun,https://www.agilityrobotics.com/
1X Technologies,Home humanoid robotics,HIGH,https://www.1x.tech/,https://www.1x.tech/,Home robot training maps to household first-person task footage.,"Residential manipulation, cleaning, laundry, kitchen, appliance and tidying clips.",Home tasks are the strongest hook.,viresh,https://www.1x.tech/
Sanctuary AI,Humanoid robotics,HIGH,https://sanctuary.ai/,https://sanctuary.ai/,Phoenix focuses on general-purpose industrial and dexterous tasks.,"Dexterous hand-object video, tools, repair, industrial manipulation.",Pitch hand-heavy task samples.,tarun,https://sanctuary.ai/
Boston Dynamics,Humanoid robotics,HIGH,https://bostondynamics.com/products/atlas/,https://bostondynamics.com/products/atlas/,Atlas is positioned for real industrial work and material handling.,"Industrial worksite capture, material handling, tools, cluttered task scenes.",Enterprise target. Use sample-first CTA.,viresh,https://bostondynamics.com/products/atlas/
Unitree Robotics,Humanoid robotics,HIGH,https://www.unitree.com/g1,https://www.unitree.com/g1,G1 and H-series humanoids are active platforms for learning and manipulation.,"Human task video for dexterous hands, tool use, household and light industrial work.",Strong platform buyer. Use concise technical angle.,tarun,https://www.unitree.com/g1
UBTECH Robotics,Humanoid robotics,HIGH,https://www.ubtrobot.com/en,https://www.ubtrobot.com/en,Walker series targets industrial and service robotics.,"Industrial manipulation, logistics workflows, service task video.",China-facing buyer. Verify best contact route before send.,tarun,https://www.ubtrobot.com/en
AGIBOT,Embodied AI robotics,HIGH,https://www.agibot.com/,https://www.agibot.com/,Embodied AI and large-scale robot data platform make a direct fit.,Rights-cleared human task video that can complement robot trajectory data.,High-fit buyer and possible partner.,viresh,https://www.agibot.com/
Galbot,Embodied AI robotics,HIGH,https://www.galbot.com/,https://www.galbot.com/,Mobile dual-arm manipulation maps to first-person human task video.,Hand-object and household manipulation samples.,Pitch long-horizon household and service tasks.,tarun,https://www.galbot.com/
Mentee Robotics,Humanoid robotics,HIGH,https://menteebot.com/,https://menteebot.com/,Human-scale robot for domestic and industrial tasks.,"Household and light industrial task video, natural-language task families.",Verify current owner and outreach path before send.,viresh,https://menteebot.com/
ENGINEAI,Humanoid robotics,HIGH,https://en.engineai.com.cn/,https://en.engineai.com.cn/,General-purpose humanoid platform with mobility and manipulation focus.,"Industrial and household manipulation clips, tool use, cluttered scenes.",Strong platform buyer. Verify English contact path.,tarun,https://en.engineai.com.cn/
NEURA Robotics,Humanoid robotics,HIGH,https://neura-robotics.com/products/4ne1/,https://neura-robotics.com/products/4ne1/,4NE1 is built for industrial workflows and everyday assistance.,"Industrial workflow video, human-object interaction, task variation samples.",Good Europe target. Lead with worksite breadth.,viresh,https://neura-robotics.com/products/4ne1/
Fourier Robotics,Humanoid robotics,HIGH,https://www.fftai.com/products-gr1,https://www.fftai.com/products-gr1,GR humanoid series supports interaction and task automation.,"Task video around household assistance, rehab-adjacent handling, light industrial work.","Good fit, but qualify buyer owner first.",tarun,https://www.fftai.com/products-gr1
Tesla Optimus,Humanoid robotics,MEDIUM,https://www.tesla.com/AI,https://www.tesla.com/AI,Large humanoid effort with internal data advantage but possible niche external sample interest.,"Industrial and residential task clips, edge-case worksite mess.",Hard to reach. Use only if warm path exists.,viresh,https://www.tesla.com/AI
Google DeepMind Robotics,Robotics foundation model,HIGH,https://deepmind.google/discover/blog/gemini-robotics/,https://deepmind.google/discover/blog/gemini-robotics/,Robotics models benefit from varied real-world manipulation examples.,"First-person task video, household manipulation, industrial actions, annotation layers.",Research-heavy buyer. Use design partner angle.,viresh,https://deepmind.google/discover/blog/gemini-robotics/
NVIDIA Robotics,Robotics platform,HIGH,https://developer.nvidia.com/isaac/gr00t,https://developer.nvidia.com/isaac/gr00t,Humanoid foundation model ecosystem can use real-world task data partners.,Rights-cleared first-person video plus annotation packages.,Partner angle rather than simple buyer angle.,tarun,https://developer.nvidia.com/isaac/gr00t
Toyota Research Institute,Robotics research,HIGH,https://www.tri.global/,https://www.tri.global/,Long-horizon home and assistance robotics maps to household task footage.,"Residential manipulation, cleaning, cooking prep, laundry, cluttered environments.",Good fit for household sample reel.,viresh,https://www.tri.global/
Amazon Robotics,Warehouse robotics,HIGH,https://amazonrobotics.com/,https://amazonrobotics.com/,Warehouse automation and robotic handling require real workflow coverage.,"Sorting, packing, picking, material handling, warehouse task video.",Hard to reach. Use partner or innovation route.,tarun,https://amazonrobotics.com/
Intrinsic,Industrial robotics software,MEDIUM,https://www.intrinsic.ai/,https://www.intrinsic.ai/,Industrial robot software can use human process video for task understanding.,"Manufacturing, inspection, tool use, assembly and packing clips.",Pitch dataset as process-intelligence layer.,viresh,https://www.intrinsic.ai/
Dexterity AI,Industrial robotics AI,HIGH,https://dexterity.ai/,https://dexterity.ai/about,Physical AI for logistics and dexterous industrial handling.,"Warehouse and parcel-handling task video, hand-object edge cases.",Strong buyer for messy logistics data.,tarun,https://dexterity.ai/
Mujin,Industrial robotics software,MEDIUM,https://mujin-corp.com/,https://mujin-corp.com/,Factories and warehouses automation software.,"Bin picking, palletizing, mixed-case fulfillment human task video.",Use operational sample angle.,viresh,https://mujin-corp.com/
Ambi Robotics,Warehouse robotics AI,HIGH,https://www.ambirobotics.com/,https://www.ambirobotics.com/,Physical AI for warehouse automation and robotic skill learning.,"Sorting, packing, stacking and parcel-handling clips.",Strong fit for warehouse task reel.,tarun,https://www.ambirobotics.com/
GrayMatter Robotics,Industrial robotics AI,MEDIUM,https://graymatter-robotics.com/,https://graymatter-robotics.com/solutions/,"AI robotics for sanding, finishing and inspection.","First-person video of surface finishing, tool use, defect inspection, craft variation.",Good niche task dataset buyer.,viresh,https://graymatter-robotics.com/solutions/
Pickle Robot,Warehouse robotics,MEDIUM,https://www.picklerobot.com/,https://www.picklerobot.com/,Trailer unloading and pallet workflows map to human workflow video.,"Warehouse inbound logistics, unloading, stacking, pallet task clips.",Send only after contact verification.,tarun,https://www.picklerobot.com/
Robust AI,Warehouse robotics,MEDIUM,https://www.robust.ai/,https://www.robust.ai/,Warehouse robots need human workflow and facility context.,"Warehouse walking paths, tote handling, packing, exception cases.",Fit is good but less manipulation-heavy.,viresh,https://www.robust.ai/
FieldAI,Autonomous field robotics,MEDIUM,https://fieldai.com/,https://fieldai.com/,Field autonomy can benefit from messy real-world visual coverage.,"Worksite video, industrial environments, clutter, lighting variation.","Pitch full-spectrum data, not clean lab clips.",tarun,https://fieldai.com/
Wayve,Autonomous systems,LOW,https://wayve.ai/,https://wayve.ai/,Embodied AI for driving may value adjacent real-world video pipelines.,"Roadside, human action and urban scene capture if roadmap expands.",Lower priority than manipulation buyers.,viresh,https://wayve.ai/
Waabi,Autonomous driving AI,LOW,https://waabi.ai/,https://waabi.ai/,"Autonomous driving fit is adjacent, not core.",Edge-case real-world visual data and annotation services.,Only pursue after robotics core list.,tarun,https://waabi.ai/
Nuro,Autonomous delivery robotics,MEDIUM,https://www.nuro.ai/,https://www.nuro.ai/,Delivery robots operate in messy real-world public spaces.,Egocentric or mobile capture around delivery environments and handoff tasks.,Potential adjacent buyer.,viresh,https://www.nuro.ai/
Applied Intuition,Autonomy software,LOW,https://www.appliedintuition.com/,https://www.appliedintuition.com/,Autonomy tooling may use datasets or buyer intros.,Edge-case video packages and labelled environment clips.,More partner than direct buyer.,tarun,https://www.appliedintuition.com/
Helm.ai,Autonomous driving AI,LOW,https://www.helm.ai/,https://www.helm.ai/,Autonomous driving fit is adjacent.,Real-world video packages and annotation layer.,"Low priority, keep for later pass.",viresh,https://www.helm.ai/
Intuitive Surgical,Surgical robotics,MEDIUM,https://www.intuitive.com/en-us,https://www.intuitive.com/en-us/about-us/contact,Surgical robotics has high standards and strict domain access needs.,"Non-clinical precision manipulation, tool handling, training task video if relevant.",Needs careful compliance review before outreach.,tarun,https://www.intuitive.com/en-us
CMR Surgical,Surgical robotics,MEDIUM,https://www.cmrsurgical.com/,https://www.cmrsurgical.com/,Precision robotics and training environments may value procedural manipulation video.,"Tool handling, sterile workflow proxies, simulated task footage if sourced properly.",Use only compliant non-clinical angle first.,viresh,https://www.cmrsurgical.com/
Moon Surgical,Surgical robotics,MEDIUM,https://www.moonsurgical.com/,https://www.moonsurgical.com/,Surgical assistance platform may use non-sensitive task video for workflow intelligence.,Precision manipulation and operating-room-adjacent workflow proxies.,Needs careful scoping.,tarun,https://www.moonsurgical.com/
Proximie,Surgical workflow AI,LOW,https://www.proximie.com/,https://www.proximie.com/,Surgical workflow data is adjacent but sensitive.,Only anonymised non-clinical training task packages if suitable.,Lower priority due compliance complexity.,viresh,https://www.proximie.com/
ANYbotics,Inspection robotics,MEDIUM,https://www.anybotics.com/,https://www.anybotics.com/,Inspection robots operate in industrial environments with messy visual conditions.,"Industrial worksite video, inspection routines, hazard-rich environments.",Good industrial data buyer.,tarun,https://www.anybotics.com/
Skydio,Autonomous drones,LOW,https://www.skydio.com/,https://www.skydio.com/,Autonomous drones need diverse real-world visual coverage.,"Industrial site video, inspection tasks, cluttered environments.","Adjacent, less hand manipulation.",viresh,https://www.skydio.com/
Zipline,Autonomous delivery,LOW,https://www.flyzipline.com/,https://www.flyzipline.com/,Delivery autonomy is adjacent but may value real-world handoff and environment footage.,"Delivery handoff video, outdoor edge cases, site operations.",Lower priority than manipulation buyers.,tarun,https://www.flyzipline.com/
Gecko Robotics,Inspection robotics,MEDIUM,https://www.geckorobotics.com/,https://www.geckorobotics.com/,Industrial inspection and asset data maps to worksite visual capture.,"Inspection task video, surfaces, tools, industrial environment variation.",Potential partner or data buyer.,viresh,https://www.geckorobotics.com/
Symbotic,Warehouse automation,MEDIUM,https://www.symbotic.com/,https://www.symbotic.com/,Warehouse automation systems can use human workflow video for task mapping.,"Sorting, packing, pallet, warehouse traffic and exception clips.",Enterprise outreach path needed.,tarun,https://www.symbotic.com/
Ocado Technology,Warehouse robotics,MEDIUM,https://www.ocadogroup.com/technology/,https://www.ocadogroup.com/technology/,Grocery fulfillment robotics maps to packing and picking workflows.,"Food processing, picking, packing, warehouse and kitchen-adjacent task video.",Use grocery fulfillment angle.,viresh,https://www.ocadogroup.com/technology/
AutoStore,Warehouse robotics,LOW,https://www.autostoresystem.com/,https://www.autostoresystem.com/,Warehouse automation fit is more systems than model layer.,Warehouse task video and process annotation.,"Lower priority, possible partner.",tarun,https://www.autostoresystem.com/
Universal Robots,Collaborative robotics,MEDIUM,https://www.universal-robots.com/,https://www.universal-robots.com/,Cobots need broader task programming examples across small manufacturers.,"Assembly, packing, polishing, tool use and light manufacturing clips.",Good channel or partner target.,viresh,https://www.universal-robots.com/
ABB Robotics,Industrial robotics,LOW,https://new.abb.com/products/robotics,https://new.abb.com/products/robotics,"Large robotics company with internal pipelines, possible AI unit fit.",Industrial task footage and annotation packages.,Low priority unless warm route.,tarun,https://new.abb.com/products/robotics
FANUC America,Industrial robotics,LOW,https://www.fanucamerica.com/,https://www.fanucamerica.com/,Industrial robotics platform with possible AI training angle.,"Manufacturing task video, tool and inspection workflows.","Low priority, route through applications teams.",viresh,https://www.fanucamerica.com/
Yaskawa Motoman,Industrial robotics,LOW,https://www.motoman.com/,https://www.motoman.com/,Industrial automation platform with possible task-library data fit.,"Manufacturing manipulation, welding-adjacent and packing video.",Low priority without warm route.,tarun,https://www.motoman.com/
Diligent Robotics,Service robotics,MEDIUM,https://www.diligentrobots.com/,https://www.diligentrobots.com/,Service robots operate in dynamic indoor environments.,"Hospitality and facility task video, handoff and navigation context.",Good service robot target.,viresh,https://www.diligentrobots.com/
Hello Robot,Mobile manipulation,HIGH,https://www.hello-robot.com/,https://www.hello-robot.com/,Mobile manipulators and research users need household task demonstrations.,"Home manipulation, cleaning, object retrieval and long-horizon task clips.",Strong fit due mobile manipulation.,tarun,https://www.hello-robot.com/
Labrador Systems,Assistive home robotics,MEDIUM,https://labradorsystems.com/,https://labradorsystems.com/,Assistive home robotics maps to household routines and object movement.,"Residential task video, home navigation and handoff workflows.",Good household dataset buyer.,viresh,https://labradorsystems.com/
Bear Robotics,Service robotics,LOW,https://www.bearrobotics.ai/,https://www.bearrobotics.ai/,"Service robotics is adjacent, with restaurant workflow angle.","Food service task video, restaurant workflows, cluttered human spaces.",Lower priority but useful vertical.,tarun,https://www.bearrobotics.ai/
Richtech Robotics,Service humanoid robotics,MEDIUM,https://www.richtechrobotics.com/,https://www.richtechrobotics.com/,Service robots in hospitality and commercial settings need real task variation.,"Food service, cleaning, facility task video.",Verify buyer owner first.,viresh,https://www.richtechrobotics.com/
Realtime Robotics,Robot motion planning,LOW,https://www.rtr.ai/,https://www.rtr.ai/,Motion planning platform may value process videos but fit is indirect.,Industrial workcell video and task annotations.,Low priority unless partner angle.,tarun,https://www.rtr.ai/
Bright Machines,Factory automation,MEDIUM,https://www.brightmachines.com/,https://www.brightmachines.com/,Factory automation maps to human assembly and process video.,"Assembly, inspection, packing, tool use and manufacturing clips.",Good manufacturing target.,viresh,https://www.brightmachines.com/
